"Timestamp","1. Country of Residence ","2. Age Range ","3. Gender ","4. Highest Educational Level ","5. Occupation / Professional Role","6. Sector of Work","7. Do you observe visible plastic pollution (macroplastics) in your community? ","8. In what environmental settings do you most often encounter plastic waste? (Select all that apply) ","9. Are you aware of microplastics as an environmental or health issue? ","10. From your perspective, which ecosystems are most affected by plastic pollution in your area? (Select all that apply) ","11. How concerned are you about the environmental and health impacts of microplastics?","12. How knowledgeable are you about the causes and effects of microplastic pollution? ","13. What sources of information influence your understanding of microplastics? (Select all that apply) ","14. Do you believe microplastics affect human health?","15. What specific health effects have you heard about (if any)? (Open-ended) ","16. Have you seen or heard media stories on microplastics or plastic pollution in the past 6 months? ","17. Which platforms most effectively communicate environmental issues in your country? (Rank top 3) ","18. What messages do you remember most from media coverage? (Select all that apply) ","19. To what extent has media coverage influenced your behavior or concern?","20. Have you heard of the circular economy concept?","21. Which actions do you associate with a circular economy? (Select all that apply)","22. Which sectors in your country are actively working toward circular economy practices? (Select all that apply)","23. What are the biggest challenges to a circular economy in your area? (Open-ended) ","24. Which measures do you support to address plastic pollution in your country? (Choose up to 3) ","25.  What actions are you personally taking to reduce plastic waste? (Open-ended)","26. What would motivate you (or others) to take more action?","27. What further actions should be taken to tackle plastic and microplastic pollution? (Open-ended) ","28. Any other suggestions, recommendations, or experiences you’d like to share? (Optional) "
"2025/05/22 7:41:14 PM GMT+4","Niger","35-44","Male","Master’s degree or higher","Researcher / Academic","Public Sector","Frequently","Rivers/Lakes","Yes","Freshwater ecosystems;Marine/coastal areas;Agricultural land;Forests;Urban areas","Moderately concerned","Somewhat knowledgeable","School/University;Community leaders","Yes","","No","WhatsApp","Food chain contamination;Climate and environmental damage","Moderately","Yes","Composting and biodegradables;Industrial recycling;Government incentives for recyclers","I’m not sure","People compréhension and their participation ","Public-private partnerships","Any action ","","Reduce using plastic in our work ",""
"2025/05/22 7:43:01 PM GMT+4","Djibouti","25-34","Female","Secondary education","Student","Student","Occasionally","Urban dumpsites","Yes","Marine/coastal areas;Forests;Urban areas","Moderately concerned","Somewhat knowledgeable","Television;Radio;Social Media","Not sure","","Yes","TV;Facebook;Newspapers","Microplastics in drinking water","Moderately","Yes","Composting and biodegradables;Industrial recycling","Local communities;Schools/universities","","National awareness campaigns;Public-private partnerships","","Financial incentives","",""
"2025/05/22 7:44:21 PM GMT+4","Uganda","25-34","Female","Master’s degree or higher","Researcher / Academic","Academic/Research","Frequently","Roadsides;Urban dumpsites","Yes","Agricultural land;Urban areas","Extremely concerned","Somewhat knowledgeable","Television;Radio;Scientific publications;School/University","Yes","Raw materials used are cancerous to humans ","Yes","TV;YouTube","Climate and environmental damage;Call to action/cleanups;Government policy changes","Moderately","No","None","I’m not sure","","Ban on single-use plastics;Increased recycling infrastructure;Incentives for plastic alternatives;Community-based waste management","Using plastic substitutes like paper bags","Better waste facilities","Government policies to ban further production plastics",""
"2025/05/22 8:03:07 PM GMT+4","Tanzania","18-24","Female","Vocational/Technical training","Student","Student","Occasionally","Roadsides;Rivers/Lakes","Yes","Freshwater ecosystems;Forests;Urban areas","I don’t know enough to answer","Heard about it but unsure","Scientific publications;Community leaders","Yes","The infection","Not sure","TV;Radio;Public forums","Microplastics in drinking water;Food chain contamination;Climate and environmental damage","Slightly","No","Reusing and repairing products;Redesigning packaging;Industrial recycling;Upcycling waste materials","Private companies;Schools/universities","prices too high","Ban on single-use plastics;Increased recycling infrastructure","I will no longer buy microplastics.","Health education","let's not use them anymore","no more microplastics in stores"
"2025/05/22 8:05:34 PM GMT+4","Rwanda","35-44","Male","Master’s degree or higher","Government employee","Public Sector","Occasionally","Rivers/Lakes;Farmlands","Yes","Agricultural land;Forests","Extremely concerned","Somewhat knowledgeable","Television;Scientific publications;Community leaders","Yes","These affect stomach and digestive system, and the functioning of hormones ","No","TV;Radio;Newspapers","Microplastics in drinking water;Food chain contamination;Climate and environmental damage;Government policy changes","Very significantly","Yes","Reusing and repairing products;Industrial recycling;Upcycling waste materials;Government incentives for recyclers","Private companies;Startups;Local communities","Price of packaging which is high and also poor mindset of some people are still low regarding recycling and circular economy","National awareness campaigns;Integration into school curricula;Incentives for plastic alternatives;Public-private partnerships;Community-based waste management","Commitment to implement the policies strategies to reduce plastic waste and other solid waste management ","Better waste facilities","Enforcement of the community and mobilization on the negative and positive tacking or not tacking the plastic pollution","Sharing the findings from this research to the stakeholders including I myself"
"2025/05/22 8:29:21 PM GMT+4","Kenya","45-54","Female","Secondary education","Business owner / Entrepreneur","Sme","Frequently","Roadsides;","Yes","Urban areas","Extremely concerned","Somewhat knowledgeable","NGOs","Yes","If burned it affects human health thru pollution","Yes","TV","Threats to marine life","Moderately","Yes","Industrial recycling","","Lack of support","Strict enforcement of waste laws"," Talking one on one to anyone ii find littering on the roads or else where not to do so","Financial incentives","Government  and  NGOs  reinforcing law"," Practicing displine even when other people are not watching"
"2025/05/22 8:32:00 PM GMT+4","Kenya","55-64","Male","Master’s degree or higher","Researcher / Academic","Academic/Research","Frequently","Roadsides;Rivers/Lakes;Farmlands;Beaches;Urban dumpsites;Markets or open-air areas","Yes","Freshwater ecosystems;Marine/coastal areas;Agricultural land;Urban areas","Extremely concerned","Somewhat knowledgeable","Television;Social Media;Scientific publications","Yes","cancer","Yes","TV;WhatsApp","Threats to marine life;Microplastics in drinking water","","Yes","Reusing and repairing products;Redesigning packaging;Composting and biodegradables;Industrial recycling;Upcycling waste materials;Government incentives for recyclers","I’m not sure","lack of information and enforcement of policies","Ban on single-use plastics;Integration into school curricula;Strict enforcement of waste laws;Community-based waste management","avoiding the use of plastics; separating waste to have plastics in separate container for disposal","Better waste facilities","ban harmful plastics","provide public awareness; provide differentiated waste disposal facilities; encourage recycling; enforce relevant regulations on waste disposal"
"2025/05/22 8:46:02 PM GMT+4","Uganda","25-34","Female","Bachelor’s degree","Educator / Teacher","Private Sector","Occasionally","Roadsides;Urban dumpsites","Somewhat","Urban areas","Moderately concerned","Somewhat knowledgeable","Social Media","Yes","I do not know specific effects","Yes","TV;TikTok;YouTube","Microplastics in drinking water;Food chain contamination","Moderately","No","Industrial recycling","I’m not sure","","Increased recycling infrastructure;National awareness campaigns;Integration into school curricula","","Health education","",""
"2025/05/22 9:36:34 PM GMT+4","Kenya","18-24","Female","Secondary education","Student","Student","Frequently","Roadsides;Rivers/Lakes;Farmlands;Beaches;Urban dumpsites;Markets or open-air areas","Yes","Freshwater ecosystems;Marine/coastal areas;Forests;Urban areas","Extremely concerned","Somewhat knowledgeable","Social Media;Scientific publications;NGOs","Yes","It's carcinogenic ","Yes","TV;TikTok;YouTube;Public forums","Threats to marine life;Microplastics in drinking water;Food chain contamination;Climate and environmental damage","Very significantly","Yes","Reusing and repairing products;Composting and biodegradables;Industrial recycling;Government incentives for recyclers","Private companies;Startups;NGOs","Lack of Gvt incentives for recyclers and probably industrial recycling ","Ban on single-use plastics;Increased recycling infrastructure;Integration into school curricula;Incentives for plastic alternatives;Strict enforcement of waste laws;Community-based waste management","I try my best to reuse plastic items by turning them into smth useful.","Financial incentives","I think the gvt should play their part seriously when it comes to handling any type of pollution without a motive to get funds, if money is allocated for that specific sector the environment should be taken care of, be it ensuring garbage dumpsites are managed appropriately and offenders who pollute the environment be dealt with accordingly. ","No"
"2025/05/22 9:50:32 PM GMT+4","Rwanda","35-44","Male","Master’s degree or higher","Government employee","Public Sector","Occasionally","Roadsides;Markets or open-air areas","","Marine/coastal areas","Moderately concerned","Somewhat knowledgeable","Television;School/University","Yes","Respiratory and digestive heath ","Yes","TV;Public forums","Climate and environmental damage","Moderately","Yes","None","Government;Private companies","Lack of enough industries and knowledgeable  man power ","Ban on single-use plastics;Increased recycling infrastructure;National awareness campaigns;Integration into school curricula;Incentives for plastic alternatives;Strict enforcement of waste laws;Public-private partnerships;Community-based waste management","As children's learning materials writer,  i write on themes like climate change through waste manage and make sure they integrated in the operational curriculum ","Financial incentives","Support for writers who are writing about climate change, ","No"
"2025/05/22 10:04:53 PM GMT+4","Rwanda","35-44","Male","Master’s degree or higher","Informal sector worker","Informal Sector","Frequently","Urban dumpsites","Yes","Freshwater ecosystems","Moderately concerned","Somewhat knowledgeable","Social Media","Yes","Cancers","Yes","X","Food chain contamination","Moderately","Yes","Reusing and repairing products;Redesigning packaging;Composting and biodegradables;Industrial recycling","Government;Private companies;NGOs","","Ban on single-use plastics;Increased recycling infrastructure;National awareness campaigns;Incentives for plastic alternatives;Strict enforcement of waste laws;Public-private partnerships;Community-based waste management","","Better waste facilities","",""
"2025/05/22 10:05:46 PM GMT+4","Kenya","35-44","Male","Master’s degree or higher","Educator / Teacher","Private Sector","Frequently","Urban dumpsites;Markets or open-air areas","Yes","Urban areas","Extremely concerned","Very knowledgeable","Television;Social Media;NGOs","Yes","Cancer","Yes","TV;Radio;Facebook;Newspapers;YouTube;Public forums","Threats to marine life;Food chain contamination;Call to action/cleanups","Very significantly","No","Reusing and repairing products;Industrial recycling;Upcycling waste materials;Government incentives for recyclers","Private companies;Startups;Local communities;NGOs","High cost involved, lack of knowledge ","Ban on single-use plastics;Increased recycling infrastructure;National awareness campaigns;Integration into school curricula;Incentives for plastic alternatives;Strict enforcement of waste laws;Public-private partnerships;Community-based waste management","Proper waste disposal, awareness ","Financial incentives","Enforcement of laws",""
"2025/05/22 11:05:40 PM GMT+4","Kenya","45-54","Female","Secondary education","Business owner / Entrepreneur","Private Sector","Frequently","Markets or open-air areas","Yes","Urban areas","Moderately concerned","Somewhat knowledgeable","Social Media","Yes","Endocrine disruptions ","Yes","Radio","Climate and environmental damage","Slightly","No","None","I’m not sure","","Increased recycling infrastructure;National awareness campaigns;Strict enforcement of waste laws","Ensuring my family and I don't throw plastic anyhow","Community leadership","",""
"2025/05/22 11:28:47 PM GMT+4","Uganda","45-54","Male","Master’s degree or higher","Researcher / Academic","Public Sector","Frequently","Rivers/Lakes;Urban dumpsites;Markets or open-air areas","Yes","Freshwater ecosystems;Agricultural land;Urban areas","Extremely concerned","Very knowledgeable","Television;Scientific publications","Yes","When they micro plastics stay in water bodies, the quality of fresh water for our cleaning needs and the quality of the fish we eat is compromised ","Yes","TV;Radio;Public forums","Threats to marine life;Climate and environmental damage;Call to action/cleanups;Government policy changes","Very significantly","Yes","Reusing and repairing products;Redesigning packaging;Composting and biodegradables;Upcycling waste materials;Government incentives for recyclers","Private companies;Local communities","Low public awareness ","Increased recycling infrastructure;National awareness campaigns;Public-private partnerships","Recycling action research ","Health education","Public engagement through research dissemination ","Increased public awareness for consumption norm change"
"2025/05/22 11:57:27 PM GMT+4","Rwanda","25-34","Male","Master’s degree or higher","Researcher / Academic","Academic/Research","Occasionally","Farmlands","Yes","Agricultural land","Moderately concerned","Very knowledgeable","Scientific publications","Yes","","Yes","TV","Climate and environmental damage","Very significantly","Yes","Government incentives for recyclers","Government","","Ban on single-use plastics","Being an Climate change activst","Better waste facilities","Educating peoples about environment protections",""
"2025/05/23 12:04:14 AM GMT+4","Rwanda","25-34","Male","Master’s degree or higher","Researcher / Academic","Academic/Research","Frequently","Urban dumpsites","Yes","Urban areas","Extremely concerned","Somewhat knowledgeable","Scientific publications","Yes","respiratory disorders","No","TV;Radio;Newspapers;YouTube","Threats to marine life;Food chain contamination;Climate and environmental damage;Call to action/cleanups","Moderately","Yes","Reusing and repairing products;Industrial recycling;Upcycling waste materials","Government;Startups;Local communities;Schools/universities","The people know how on circular Economy. ","Increased recycling infrastructure;National awareness campaigns;Incentives for plastic alternatives;Public-private partnerships","Personal Awareness, and public Awareness","Financial incentives","Personal Awareness",""
"2025/05/23 1:06:42 AM GMT+4","Rwanda","35-44","Male","Bachelor’s degree","Self employment ","Technician","Occasionally","Farmlands","Yes","Agricultural land","Moderately concerned","Somewhat knowledgeable","Community leaders","Yes","Minimize the stress minimize the workers fatigue","Yes","WhatsApp;","Climate and environmental damage","Moderately","Yes","Industrial recycling","Local communities","Missing of money ","Increased recycling infrastructure","Agribusiness ","Health education","","To think somme financial based to the jph"
"2025/05/23 1:24:16 AM GMT+4","Rwanda","","Male","Master’s degree or higher","Student","Academic/Research","Frequently","Roadsides;Rivers/Lakes;Farmlands;Markets or open-air areas","Yes","Freshwater ecosystems;Marine/coastal areas;Agricultural land","Extremely concerned","Very knowledgeable","Scientific publications;NGOs;School/University","Yes","Cancer","Yes","WhatsApp;Facebook;Religious institutions","Threats to marine life","Very significantly","No","Reusing and repairing products;Composting and biodegradables;Industrial recycling","Government;Startups","Lack of Infrastructure","Ban on single-use plastics;Increased recycling infrastructure;National awareness campaigns;Public-private partnerships;Community-based waste management","Reduce Single-Use Plastics","Community leadership","Use of plastic Banning ","no"
"2025/05/23 4:10:15 AM GMT+4","Kenya","25-34","Female","Bachelor’s degree","Educator / Teacher","Public Sector","Frequently","Roadsides;Urban dumpsites;Markets or open-air areas","Yes","Urban areas","Moderately concerned","Very knowledgeable","School/University","Yes","Causes respiratory issues when there smoke is inhaled after being burnt","Yes","TV","Climate and environmental damage","Slightly","Yes","Industrial recycling;Upcycling waste materials","Startups","","Ban on single-use plastics;Increased recycling infrastructure","","Health education","",""
"2025/05/23 8:07:16 AM GMT+4","Rwanda","25-34","Male","Bachelor’s degree","Educator / Teacher","Public Sector","Frequently","Roadsides","Yes","Freshwater ecosystems;Agricultural land","Extremely concerned","Somewhat knowledgeable","Radio","Yes","","No","TV;Radio;YouTube","","","","","Government;Local communities;NGOs","","National awareness campaigns","Encourage industries to produce ","Health education","",""
"2025/05/23 8:13:45 AM GMT+4","Tanzania","35-44","Male","Diploma or equivalent","NGO / Civil society worker","NGO/Civil Society","Occasionally","Markets or open-air areas","Yes","Agricultural land","Moderately concerned","Very knowledgeable","School/University","Yes","The microplastic pass in organisms and in some thinks to eat and affected human life or body and affect agriculture ","Yes","WhatsApp","Food chain contamination","Moderately","No","Upcycling waste materials","Government;Private companies;Local communities","15000000","Community-based waste management","To buy machine that can prepare the microplastic and use method of recryling  and trending populat for prevent this polution","Better waste facilities","To educate the populat for prevent the microplastic polution and to prevent to put all around ","Everyone can be responsible (leader)for prevent the microplastic polution "
"2025/05/23 9:21:10 AM GMT+4","Rwanda","35-44","Male","Bachelor’s degree","","Private Sector","Frequently","Roadsides","Yes","Agricultural land","Moderately concerned","Somewhat knowledgeable","Television;Radio;Social Media;Community leaders","Yes","","Yes","TV;Facebook;YouTube","Microplastics in drinking water;Food chain contamination;Climate and environmental damage","Moderately","No","Industrial recycling","Government","","Public-private partnerships","Micro industry ","Financial incentives","","All sectors to put in action Reduced the plastic "
"2025/05/23 9:32:05 AM GMT+4","Rwanda","25-34","Male","Master’s degree or higher","Researcher / Academic","Academic/Research","Occasionally","Rivers/Lakes","Yes","Agricultural land","Not concerned","Not knowledgeable","School/University","Yes","","Yes","","","","Yes","","","","","","","",""
"2025/05/23 9:34:33 AM GMT+4","Rwanda","35-44","Male","Bachelor’s degree","Informal sector worker","Informal Sector","Frequently","Urban dumpsites","Yes","Agricultural land","Extremely concerned","Very knowledgeable","School/University","Yes","It may cause air pollution if the plastics is burned","Yes","TV","Threats to marine life","Very significantly","No","None","I’m not sure","","Community-based waste management","I have to use none plastic items to prevent its wide spread around my living place","Health education","Contries should ban plastic use in all public places inclunding wedding and conferences","Avoid using single use cups and straws instead use glasses in ceremonies"
"2025/05/23 10:55:46 AM GMT+4","Rwanda","25-34","Female","Bachelor’s degree","sale consertant","Private Sector","Never","Rivers/Lakes","Yes","","I don’t know enough to answer","Not knowledgeable","Social Media","Yes","in leaver ","","","","","","","","","","","","in river","none"
"2025/05/23 10:56:08 AM GMT+4","Kenya","25-34","Female","Bachelor’s degree","NGO / Civil society worker","NGO/Civil Society","Frequently","Markets or open-air areas","Yes","Urban areas","Extremely concerned","Somewhat knowledgeable","NGOs","Yes","","Not sure","TV","I don’t recall any","Moderately","No","Upcycling waste materials","Private companies","","Strict enforcement of waste laws","","Better waste facilities","",""
"2025/05/23 11:29:28 AM GMT+4","Morocco","45-54","Female","Master’s degree or higher","Researcher / Academic","Academic/Research","Frequently","Rivers/Lakes;Beaches;Markets or open-air areas","Yes","Marine/coastal areas","Extremely concerned","Very knowledgeable","Scientific publications","Yes","","Yes","TV;Newspapers","Call to action/cleanups;Government policy changes","Very significantly","Yes","Reusing and repairing products;Composting and biodegradables;Industrial recycling","I’m not sure","","Increased recycling infrastructure;National awareness campaigns;Integration into school curricula;Strict enforcement of waste laws","","Health education","",""
"2025/05/23 12:18:41 PM GMT+4","Kenya","55-64","Male","Secondary education","Business owner / Entrepreneur","Private Sector","Frequently","Roadsides","Yes","Freshwater ecosystems","Extremely concerned","Very knowledgeable","Television","Yes","Burning of plastic materials cause cancer ","Yes","Radio","Microplastics in drinking water","Very significantly","No","None","Private companies","","Strict enforcement of waste laws","I'm using Reusable bags ","Health education","Installing bins where waste is dumpedba","Banning of plastics"
"2025/05/23 12:52:37 PM GMT+4","Kenya","25-34","Male","Bachelor’s degree","Educator / Teacher","Private Sector","Frequently","Roadsides;Markets or open-air areas","Yes","Freshwater ecosystems;Agricultural land;Forests;Urban areas","Moderately concerned","Somewhat knowledgeable","Television;Radio;Social Media;School/University;Religious institutions","Yes","Breathing issues due to burning of plastics ","Yes","TV;Radio;WhatsApp;Facebook;Newspapers;YouTube;Public forums","Threats to marine life;Microplastics in drinking water;Food chain contamination;Climate and environmental damage;Call to action/cleanups;Government policy changes","Moderately","Yes","Reusing and repairing products;Redesigning packaging;Composting and biodegradables;Industrial recycling;Upcycling waste materials","Private companies;Schools/universities;NGOs","","Ban on single-use plastics;Increased recycling infrastructure;National awareness campaigns;Integration into school curricula;Incentives for plastic alternatives;Strict enforcement of waste laws;Public-private partnerships","Buying reusable plastics ","Financial incentives","Coming with punitive laws against plastic pollution ",""
"2025/05/23 1:06:06 PM GMT+4","Kenya","18-24","Male","Secondary education","Student","Student","Rarely","Urban dumpsites","Yes","Urban areas","Slightly concerned","Somewhat knowledgeable","Social Media","Yes","","Yes","TikTok","Climate and environmental damage","Moderately","No","Reusing and repairing products;Redesigning packaging;Industrial recycling;Upcycling waste materials","I’m not sure","","Increased recycling infrastructure;National awareness campaigns;Community-based waste management","Community-based waste management","Health education","","reduction of plastic production"
"2025/05/23 1:51:11 PM GMT+4","Kenya","25-34","Female","Bachelor’s degree","Educator / Teacher","Private Sector","Frequently","Urban dumpsites","Yes","Agricultural land","Extremely concerned","Very knowledgeable","Scientific publications","Yes","Health problems ","Yes","TV;Radio;Newspapers","Food chain contamination","Moderately","No","Reusing and repairing products","NGOs","","Ban on single-use plastics;National awareness campaigns;Incentives for plastic alternatives;Community-based waste management","","Better waste facilities","",""
"2025/05/23 1:58:58 PM GMT+4","Rwanda","35-44","Male","Bachelor’s degree","Informal sector worker","Informal Sector","Occasionally","Roadsides;Rivers/Lakes;Farmlands;Urban dumpsites","Yes","Freshwater ecosystems;Agricultural land","Moderately concerned","Somewhat knowledgeable","Social Media","Yes","Infectious diseases like miseals, malaria... ","No","TV","Threats to marine life;Microplastics in drinking water;Climate and environmental damage","Moderately","Yes","Redesigning packaging;Industrial recycling;Upcycling waste materials","Private companies","Investment capital ","Increased recycling infrastructure;Public-private partnerships;Community-based waste management","Working with cleaning companies to take the wastes in our homes and following the rules","Better waste facilities","Increasing taxes to plastic dealers and reducing plastic packaging materials ","This a serious topic  of Research, plus make sure the findings help in management of climate change"
