"Timestamp","1. Pays de résidence","2. Tranche d’âge","3. Genre","4. Niveau d’éducation le plus élevé","5.  Profession / Rôle professionnel ","6.  Secteur d’activité ","7. Observez-vous une pollution plastique visible (macroplastiques) dans votre communauté ?","8. Dans quels environnements rencontrez-vous le plus souvent des déchets plastiques ? (Cochez tout ce qui s’applique)","9. Êtes-vous conscient(e) des microplastiques en tant que problème environnemental ou sanitaire ?","10. De votre point de vue, quels écosystèmes sont les plus affectés par la pollution plastique dans votre région ? (Cochez tout ce qui s’applique)","11.  Dans quelle mesure êtes-vous préoccupé(e) par les impacts environnementaux et sanitaires des microplastiques ? ","12. Quel est votre niveau de connaissance sur les causes et les effets de la pollution par les microplastiques ?","13. Quelles sources d’information influencent votre compréhension des microplastiques ? (Cochez tout ce qui s’applique)","14. Pensez-vous que les microplastiques affectent la santé humaine ?","15. Quels effets spécifiques sur la santé avez-vous entendus (le cas échéant) ?","16. Avez-vous vu ou entendu des reportages médiatiques sur les microplastiques ou la pollution plastique au cours des six derniers mois ?","17. Quelles plateformes communiquent le mieux les enjeux environnementaux dans votre pays ? (Classez vos 3 préférées)","18. Quels messages retenez-vous le plus des médias ? (Cochez tout ce qui s’applique)","19. Dans quelle mesure la couverture médiatique a-t-elle influencé votre comportement ou votre préoccupation ?","20. Avez-vous déjà entendu parler du concept d’économie circulaire ?","21. Quelles actions associez-vous à l’économie circulaire ? (Cochez tout ce qui s’applique)","22. Quels secteurs de votre pays travaillent activement à la mise en œuvre de pratiques d’économie circulaire ? (Cochez tout ce qui s’applique)","23. Quels sont les plus grands défis à l’économie circulaire dans votre région ?","24.  Quelles mesures soutenez-vous pour lutter contre la pollution plastique dans votre pays ? (Choisissez jusqu’à 3) ","25.  Quelles actions entreprenez-vous personnellement pour réduire les déchets plastiques ?","26. Qu’est-ce qui vous motiverait (ou motiverait d’autres personnes) à agir davantage ?","27. Quelles actions supplémentaires devraient être entreprises pour lutter contre la pollution par les plastiques et les microplastiques ?","28. Avez-vous d’autres suggestions, recommandations ou expériences que vous souhaiteriez partager ? (Optionnel)"
"2025/08/05 4:15:27 PM GMT+4","République Démocratique du Congo","65 ans et plus","Homme","Formation professionnelle/technique","Police","Secteur public","Fréquemment","Bords de routes;Rivières / Lacs;Décharges urbaines;Marchés ou espaces en plein air","Oui","Écosystèmes d’eau douce;Zones urbaines","Extrêmement préoccupé(e)","Assez informé(e)","Télévision;Radio;Réseaux sociaux;Leaders communautaires;Institutions religieuses","Oui","Les epidemies(choléra,typhoïde,diarrhée, toux,.........)","Oui","Télévision;Radio;Journaux","Menaces pour la vie marine;Microplastiques dans l’eau potable;Contamination de la chaîne alimentaire;Dégâts climatiques et environnementaux;Appels à l’action/nettoyages;Changements de politiques gouvernementales","Très fortement","Non","Réutilisation et réparation des produits;Refonte des emballages;Compostage et matériaux biodégradables;Recyclage industriel;Surcyclage des déchets;Incitations gouvernementales pour les recycleurs","Entreprises privées","Diminuer la pollution,protéger la population et l,écosystème ","Interdiction des plastiques à usage unique;Renforcement des infrastructures de recyclage;Campagnes nationales de sensibilisation;Intégration dans les programmes scolaires;Application stricte des lois sur les déchets;Partenariats public-privé;Gestion des déchets communautaire","Par l,éducation de la population sur la prise en charge","Meilleures infrastructures de gestion des déchets","Sensibilisation de la population pour la prise en charge","Arrêter la fabrication des plastiques,que les gouvernements sortent des lois pr encadrer le gestion des plastiques après leur fabrication"
"2025/08/05 4:20:23 PM GMT+4","République Démocratique du Congo","25-34","Homme","Licence (Baccalauréat)","Étudiant(e)","Étudiant(e)","Fréquemment","Bords de routes;Rivières / Lacs;Terres agricoles;Plages;Décharges urbaines;Marchés ou espaces en plein air;","Oui","Zones marines / côtières;Zones urbaines","Extrêmement préoccupé(e)","Très bien informé(e)","Télévision;Radio;Réseaux sociaux;Publications scientifiques;École / Université;Institutions religieuses;Aucune","Oui","Cancer ","Oui","Télévision","Menaces pour la vie marine;Microplastiques dans l’eau potable;Contamination de la chaîne alimentaire;Dégâts climatiques et environnementaux;Appels à l’action/nettoyages;Changements de politiques gouvernementales","Très fortement","Oui","Réutilisation et réparation des produits;Recyclage industriel;Surcyclage des déchets;Incitations gouvernementales pour les recycleurs","Gouvernement;ONG","Le financement ","Renforcement des infrastructures de recyclage;Partenariats public-privé;Gestion des déchets communautaire","Je met les déchet dans la poubelle...","Incitations financières","Faire l'échange des bouteilles contre les pièces d'argent ","Le gouvernement doit avoir une bonne gouvernance des déchet et il doit mettre les poubelles dans tout les coins du pays et il doit veuillez a les ramasser chaque soir pour la transformation..."
"2025/08/05 5:06:07 PM GMT+4","France ","45-54","Femme","Master ou diplôme supérieur","Chercheur(e) / Universitaire","Secteur public","Rarement","Rivières / Lacs","Oui","Écosystèmes d’eau douce;Zones marines / côtières;Terres agricoles","Extrêmement préoccupé(e)","Assez informé(e)","Publications scientifiques;École / Université","Oui","Cancer et troubles neurologiques ","Non","Télévision;Journaux;Laboratoire de recherche ","Menaces pour la vie marine;Microplastiques dans l’eau potable;Contamination de la chaîne alimentaire;Dégâts climatiques et environnementaux;Appels à l’action/nettoyages","Très fortement","Oui","Réutilisation et réparation des produits;Refonte des emballages;Compostage et matériaux biodégradables;Recyclage industriel","Gouvernement;Entreprises privées;Startups","Compétitivité du neuf ","Interdiction des plastiques à usage unique;Renforcement des infrastructures de recyclage;Campagnes nationales de sensibilisation;Intégration dans les programmes scolaires;Incitations pour les alternatives au plastique;Application stricte des lois sur les déchets;Partenariats public-privé;Gestion des déchets communautaire","Les recyclages ","Leadership communautaire","Responsabliliser les producteurs ","Récompenser les consommateurs qui apportent leurs emballages plastiques usagés en leur offrant de l' argent ou des bons d'achat "
"2025/08/05 5:37:31 PM GMT+4","République Démocratique du Congo","35-44","Homme","Master ou diplôme supérieur","Professionnel(le) de santé","Secteur public","Fréquemment","Bords de routes;Rivières / Lacs;Décharges urbaines;Marchés ou espaces en plein air","Oui","Écosystèmes d’eau douce;Zones urbaines","Extrêmement préoccupé(e)","Très bien informé(e)","Publications scientifiques","Oui","Réchauffement climatique","Oui","Télévision;Radio","Menaces pour la vie marine;Microplastiques dans l’eau potable;Contamination de la chaîne alimentaire;Dégâts climatiques et environnementaux;Appels à l’action/nettoyages;Changements de politiques gouvernementales","Modérément","Oui","Réutilisation et réparation des produits;Recyclage industriel","Gouvernement;Entreprises privées","L'appui financier","Renforcement des infrastructures de recyclage;Campagnes nationales de sensibilisation;Intégration dans les programmes scolaires;Application stricte des lois sur les déchets;Gestion des déchets communautaire","Triage de déchets au niveau du ménage pour une bonne orientation afin que les produits soit recruté","Meilleures infrastructures de gestion des déchets","Taxation de Industrie polluant","Dans mon pays on fait plus de projet qui n'ont pas accès d'impact et on suggère que la communauté soit informé et qu'on renforce les lois sur l'élimination de déchets"
"2025/08/05 6:27:24 PM GMT+4","Kenya","18-24","Femme","Licence (Baccalauréat)","Étudiant(e)","Étudiant(e)","Occasionnellement","Bords de routes","Oui","Terres agricoles","Légèrement préoccupé(e)","J’en ai entendu parler mais je ne suis pas sûr(e)","Aucune","Oui","Pas d'idée ","Pas sûr(e)","TikTok","Menaces pour la vie marine;Microplastiques dans l’eau potable;Contamination de la chaîne alimentaire;Dégâts climatiques et environnementaux","Légèrement","Oui","Réutilisation et réparation des produits;Refonte des emballages;Compostage et matériaux biodégradables","Communautés locales","Pas d'idée ","Interdiction des plastiques à usage unique;Intégration dans les programmes scolaires","Interdire l'usage unique de plastique ","Leadership communautaire","Pas d'idée ","No"
"2025/08/05 6:30:09 PM GMT+4","République Démocratique du Congo","45-54","Homme","Master ou diplôme supérieur","Professionnel(le) de santé","Secteur privé","Fréquemment","Bords de routes;Rivières / Lacs;Terres agricoles;Plages;Décharges urbaines;Marchés ou espaces en plein air","Oui","Écosystèmes d’eau douce;Zones marines / côtières;Terres agricoles;Forêts;Zones urbaines","Extrêmement préoccupé(e)","Très bien informé(e)","Publications scientifiques;ONG","Oui","Cancérigène ","Pas sûr(e)","Télévision;Radio;YouTube;Forums publics","Menaces pour la vie marine;Microplastiques dans l’eau potable;Contamination de la chaîne alimentaire;Dégâts climatiques et environnementaux;Appels à l’action/nettoyages;Changements de politiques gouvernementales","Modérément","Oui","Réutilisation et réparation des produits;Refonte des emballages;Recyclage industriel;Surcyclage des déchets","ONG","Éducation de la population ","Interdiction des plastiques à usage unique;Renforcement des infrastructures de recyclage;Campagnes nationales de sensibilisation;Intégration dans les programmes scolaires;Incitations pour les alternatives au plastique;Application stricte des lois sur les déchets;Gestion des déchets communautaire","Recyclage ","Meilleures infrastructures de gestion des déchets","Supprimer son utilisation le plus possible ","No"
"2025/08/05 8:47:24 PM GMT+4","République Démocratique du Congo","55-64","Homme","Licence (Baccalauréat)","Employé(e) du gouvernement","Secteur public","Fréquemment","Bords de routes;Rivières / Lacs;Terres agricoles;Décharges urbaines;Marchés ou espaces en plein air","Oui","Écosystèmes d’eau douce;Zones marines / côtières;Terres agricoles;Zones urbaines","Extrêmement préoccupé(e)","Assez informé(e)","Télévision;Radio;Réseaux sociaux;Publications scientifiques;ONG;École / Université;Leaders communautaires;Institutions religieuses","Oui","","Non","Télévision;WhatsApp;TikTok","Dégâts climatiques et environnementaux;Appels à l’action/nettoyages","Modérément","Non","Recyclage industriel","Gouvernement;Entreprises privées","","Renforcement des infrastructures de recyclage;Intégration dans les programmes scolaires;Application stricte des lois sur les déchets;Gestion des déchets communautaire","Rien","Meilleures infrastructures de gestion des déchets","Supprimer la production des plastiques à usage unique ","Aucun"
"2025/08/05 8:47:40 PM GMT+4","République Démocratique du Congo","25-34","Homme","Licence (Baccalauréat)","Travailleur(euse) d’ONG / de la société civile","ONG / Société civile","Fréquemment","Bords de routes;Décharges urbaines;Marchés ou espaces en plein air","Oui","Écosystèmes d’eau douce;Terres agricoles;Zones urbaines","Extrêmement préoccupé(e)","Assez informé(e)","Télévision;ONG;Leaders communautaires","Oui","Oui","Non","Télévision;WhatsApp;Facebook","Microplastiques dans l’eau potable;Appels à l’action/nettoyages;Changements de politiques gouvernementales","Modérément","Oui","Refonte des emballages","Gouvernement;ONG","Manque de politique publique ","Renforcement des infrastructures de recyclage;Campagnes nationales de sensibilisation;Intégration dans les programmes scolaires;Incitations pour les alternatives au plastique;Application stricte des lois sur les déchets;Partenariats public-privé;Gestion des déchets communautaire","Recyclage des déchets ","Éducation à la santé","Sensibilisation ","Non "
"2025/08/05 10:33:46 PM GMT+4","République Démocratique du Congo","45-54","Femme","Licence (Baccalauréat)","Chercheur(e) / Universitaire","Secteur public","Fréquemment","Bords de routes;Rivières / Lacs;Terres agricoles;Plages;Décharges urbaines;Marchés ou espaces en plein air","Oui","Écosystèmes d’eau douce;Zones marines / côtières;Terres agricoles;Zones urbaines","Extrêmement préoccupé(e)","Très bien informé(e)","Réseaux sociaux;Publications scientifiques;École / Université","Oui","Contamination de la chaîne alimentaire ","Non","WhatsApp;Facebook;TikTok;YouTube","Dégâts climatiques et environnementaux","Modérément","Oui","Réutilisation et réparation des produits;Recyclage industriel;Surcyclage des déchets;Incitations gouvernementales pour les recycleurs","Gouvernement;Écoles / universités;ONG","Incitations gouvernementales pour les recycleurs","Renforcement des infrastructures de recyclage;Campagnes nationales de sensibilisation;Intégration dans les programmes scolaires","Gestion  des déchets communautaire ","Meilleures infrastructures de gestion des déchets","Éducation à la santé ","Le leadership communautaire  est important "
"2025/08/05 10:37:12 PM GMT+4","République Démocratique du Congo","65 ans et plus","Homme","Master ou diplôme supérieur","Professionnel(le) de santé","Secteur Public","Fréquemment","Bords de routes;Rivières / Lacs;Terres agricoles;Plages;Décharges urbaines;Marchés ou espaces en plein air;Ecoles, formation sanitaires, ","Oui","Écosystèmes d’eau douce;Zones urbaines;Zones rurales","Extrêmement préoccupé(e)","Assez informé(e)","Télévision;Radio;Réseaux sociaux;Publications scientifiques;ONG;École / Université;Leaders communautaires;Institutions religieuses","Oui","Maladies cancéreuses, menaces sur les espèces aquatiques et autres, ","Oui","Télévision;Radio;Forums publics","Menaces pour la vie marine;Microplastiques dans l’eau potable;Contamination de la chaîne alimentaire;Dégâts climatiques et environnementaux;Appels à l’action/nettoyages","Modérément","Non","","","","Campagnes nationales de sensibilisation;Intégration dans les programmes scolaires;Application stricte des lois sur les déchets","Sensibilisation des communautés sur le circuit d’élimination des déchets ","Meilleures infrastructures de gestion des déchets","Organiser le rachat des déchets plastiques à un prix a encourager les ramasseurs et les ménages à drainer les déchets vers les centres de transit et décharges.",""
"2025/08/05 10:51:25 PM GMT+4","République Démocratique du Congo","45-54","Femme","Master ou diplôme supérieur","Employé(e) du gouvernement","Secteur public","Fréquemment","Bords de routes;Marchés ou espaces en plein air","Oui","Écosystèmes d’eau douce;Zones urbaines","Extrêmement préoccupé(e)","Assez informé(e)","Télévision;Radio","Oui","La maladie comme la typhoïde ","Non","Télévision;Radio;Journaux","Menaces pour la vie marine;Microplastiques dans l’eau potable;Contamination de la chaîne alimentaire;Dégâts climatiques et environnementaux","Modérément","Oui","Réutilisation et réparation des produits;Refonte des emballages;Compostage et matériaux biodégradables;Recyclage industriel;Surcyclage des déchets","Gouvernement;Entreprises privées;ONG","Recyclage de tous les plastiques","Interdiction des plastiques à usage unique;Renforcement des infrastructures de recyclage;Campagnes nationales de sensibilisation;Intégration dans les programmes scolaires;Incitations pour les alternatives au plastique;Application stricte des lois sur les déchets;Partenariats public-privé;Gestion des déchets communautaire","Renforcement des infrastructures de recyclage ","Meilleures infrastructures de gestion des déchets","Sensibiliser la population pour sa gestion ","A partir des écoles, sensibiliser nos enfants sur la gestion des déchets et surtout des plastiques "
"2025/08/06 2:46:15 AM GMT+4","République Démocratique du Congo","25-34","Homme","Licence (Baccalauréat)","Chercheur(e) / Universitaire","Secteur public","Fréquemment","Bords de routes;Rivières / Lacs;Terres agricoles;Décharges urbaines;Marchés ou espaces en plein air;Établissements scolaires ","Oui","Écosystèmes d’eau douce;Zones urbaines","Extrêmement préoccupé(e)","Très bien informé(e)","Télévision;Radio;Publications scientifiques;École / Université","Oui","Problèmes cardiovasculaires et rénaux ","Oui","Télévision","Menaces pour la vie marine;Contamination de la chaîne alimentaire;Changements de politiques gouvernementales","Très fortement","Oui","Refonte des emballages;Compostage et matériaux biodégradables;Recyclage industriel;Surcyclage des déchets","Entreprises privées","","Interdiction des plastiques à usage unique;Renforcement des infrastructures de recyclage;Campagnes nationales de sensibilisation;Intégration dans les programmes scolaires;Incitations pour les alternatives au plastique;Application stricte des lois sur les déchets;Partenariats public-privé;Gestion des déchets communautaire","Je m'abstiens de jetter n'importe où et j'en fais usage si indispensable ","Meilleures infrastructures de gestion des déchets","Une collecte régulière des déchets plastiques ","Une mise en place des manuels didactiques caricaturés montrant les impacts sanitaires sur la pollution plastiques dans des établissements scolaires afin de former à la base des ecocitoyens pour impacter à court, moyen et long terme nos sociétés."
"2025/08/06 8:28:26 AM GMT+4","République Démocratique du Congo","45-54","Homme","Master ou diplôme supérieur","Professionnel(le) de santé","Secteur public","Fréquemment","Bords de routes;Marchés ou espaces en plein air","Oui","Écosystèmes d’eau douce","Légèrement préoccupé(e)","Assez informé(e)","Réseaux sociaux","Oui","Odeurs nauséabondes","Non","Facebook;TikTok","Dégâts climatiques et environnementaux","Pas du tout","Non","Surcyclage des déchets","Communautés locales","Moyeys limités","Renforcement des infrastructures de recyclage","Communication interpersonnelles","Incitations financières","Multiplier le nombre des Sensibilisateurs","Mettre beaucoup de moyens dans ce domaine"
